id,age,gender,occupation,children,dev_usage,yt_usage,d10_1,d10_2,d10_3,d10_4,d10_5,d10_6,d10_7,d10_8,subscribe,notifications,sub_to_other,ads_bother,w_targetted_ads,ad_quality,purchase_influence,yt_premium,switch_platforms,content_quality
1,18 - 25,Male,Student,No,6,5,4,3,1,1,1,2,3,1,7,1,1,1,2,1,5,7,1,1
2,18 - 25,Male,Student,Yes,6,5,4,3,1,1,1,2,3,1,7,1,1,1,2,1,5,7,1,1
3,26 - 35,Male,Student,No,6,5,4,2,1,2,4,6,6,6,7,1,4,2,1,1,4,5,1,1
4,26 - 35,Male,Student,No,6,3,5,5,1,6,5,6,4,1,7,1,1,3,3,1,2,5,1,1
5,26 - 35,Male,Student,No,6,7,6,1,1,2,5,5,5,5,7,6,3,1,1,4,1,3,1,1
6,18 - 25,Male,Student,No,6,6,5,4,2,2,2,2,2,1,7,4,2,1,1,2,7,5,1,1
7,18 - 25,Female,Student,No,4,5,3,2,7,2,1,1,3,1,1,1,5,7,1,1,1,3,6,4
8,18 - 25,Male,Working student,No,4,2,4,4,4,4,2,1,4,2,3,2,1,4,1,1,1,1,1,5
9,18 - 25,Male,Working student,No,7,5,3,5,3,5,7,3,4,1,1,1,1,3,1,1,1,4,1,6
10,18 - 25,Male,Student,No,6,4,6,6,3,1,2,2,6,5,4,2,3,7,2,2,1,5,5,6
11,18 - 25,Female,Working student,No,5,1,5,4,1,3,3,1,6,5,1,1,1,4,1,2,1,1,1,2
12,18 - 25,Male,Student,No,6,4,3,3,4,2,2,3,1,4,3,1,1,2,1,3,1,1,1,2
13,18 - 25,Female,Student,No,5,4,1,1,5,5,5,5,5,6,6,6,1,1,3,4,2,1,4,6
14,18 - 25,Male,Student,No,7,6,6,5,2,2,3,7,1,4,6,1,1,5,1,5,1,1,1,5
15,18 - 25,Male,Student,No,5,3,6,2,7,2,6,1,2,5,2,1,1,6,2,2,1,1,6,5
16,18 - 25,Female,Student,No,6,4,6,2,1,5,3,4,4,3,6,1,1,5,4,2,1,3,2,5
17,18 - 25,Female,Student,No,4,5,1,4,5,3,4,3,4,1,7,3,1,7,1,1,1,1,5,3
18,18 - 25,Female,Working student,No,3,4,3,4,2,3,6,6,7,7,7,1,1,4,7,1,1,1,3,5
19,18 - 25,Male,Student,No,5,4,2,5,1,4,6,5,6,5,6,1,1,6,5,3,1,1,1,4
20,26 - 35,Male,Student,No,7,3,1,4,7,4,4,7,7,1,3,1,1,7,1,1,1,1,1,7
21,18 - 25,Female,Student,No,7,3,2,3,5,7,7,5,6,7,4,2,1,6,5,3,1,2,3,2
22,26 - 35,Male,Student,No,7,1,1,1,2,1,5,3,7,5,1,1,5,7,1,1,1,1,7,1
23,26 - 35,Male,Student,No,5,1,3,2,1,1,3,1,6,1,1,1,1,7,1,1,1,1,1,4
24,18 - 25,Female,Working student,No,7,1,4,4,4,4,4,4,2,4,1,1,1,5,2,4,1,1,3,5
25,18 - 25,Male,Employed,No,4,3,6,4,5,1,3,1,5,3,2,1,3,7,1,1,1,4,2,4
26,26 - 35,Female,Student,No,6,3,1,6,1,4,7,1,5,3,5,1,1,2,2,4,1,2,2,4
27,18 - 25,Male,Student,No,6,6,3,2,1,6,4,1,4,5,1,1,1,6,1,2,1,1,1,5
28,18 - 25,Female,Student,No,7,2,1,3,2,6,6,1,6,5,2,2,1,4,4,5,1,1,3,4
29,26 - 35,Male,Student,No,5,7,6,5,2,6,6,4,2,4,7,2,2,4,2,2,1,1,1,7
30,26 - 35,Male,Working student,No,7,6,1,6,6,5,5,6,7,5,2,1,5,5,3,2,1,7,2,5
31,18 - 25,Female,Student,No,5,4,2,3,1,6,4,1,5,6,4,1,1,3,6,2,1,1,3,4
